date,country,category,type,query_id,keyword,score
2024-04-07,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-04-14,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-04-21,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-04-28,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-05-05,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-05-12,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-05-19,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-05-26,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-06-02,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-06-09,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-06-16,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-06-23,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-06-30,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-07-07,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-07-14,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-07-21,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-07-28,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-08-04,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-08-11,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-08-18,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-08-25,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-09-01,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-09-08,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-09-15,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-09-22,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-09-29,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-10-06,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-10-13,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-10-20,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-10-27,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-11-03,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-11-10,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-11-17,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-11-24,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-12-01,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-12-08,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-12-15,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-12-22,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2024-12-29,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2025-01-05,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2025-01-12,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2025-01-19,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2025-01-26,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2025-02-02,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2025-02-09,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2025-02-16,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2025-02-23,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2025-03-02,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2025-03-09,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2025-03-16,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2025-03-23,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
2025-03-30,HK,moisturizer_hydration,subcategory,moisturizer_subcategories,hydrating serum,0
